Company,Category,Applied,Date Applied,Response,Priority,Location,Has Massachusetts Office
Sanctuary,Humanoid Systems,false,,,Vancouver, Canada,No
DeepRobotics,Humanoid Systems,false,,,Hangzhou, China,No
Enchanted Tools,Humanoid Systems,false,,,Paris, France,No
Kepler,Humanoid Systems,false,,,Munich, Germany,No
Unitree,Humanoid Systems,false,,,Hangzhou, China,No
Softbank Robotics,Humanoid Systems,false,,,Tokyo, Japan,Yes
Robotis,Humanoid Systems,false,,,Seoul, South Korea,No
Reflex,Humanoid Systems,false,,,San Francisco, California, USA,No
Kyber,Humanoid Systems,false,,,San Francisco, California, USA,No
Mentee Robotics,Humanoid Systems,false,,,Tel Aviv, Israel,No
Cobot,Humanoid Systems,false,,,San Francisco, California, USA,No
Gecko Robotics,Construction & Inspection,false,,,Pittsburgh, Pennsylvania, USA,No
Urban Machine,Construction & Inspection,false,,,Oakland, California, USA,No
MX Robotics,Construction & Inspection,false,,,San Francisco, California, USA,No
Pronto,Construction & Inspection,false,,,San Francisco, California, USA,No
Energy Robotics,Construction & Inspection,false,,,Darmstadt, Germany,No
Canvas,Construction & Inspection,false,,,San Francisco, California, USA,No
Built Robotics,Construction & Inspection,false,,,San Francisco, California, USA,No
Arix,Construction & Inspection,false,,,San Francisco, California, USA,No
Dusty Robotics,Construction & Inspection,false,,,Mountain View, California, USA,No
Ghost,Construction & Inspection,false,,,Philadelphia, Pennsylvania, USA,No
Cobalt,Construction & Inspection,false,,,San Mateo, California, USA,No
Toggle Robotics,Construction & Inspection,false,,,New York, New York, USA,No
Charge,Construction & Inspection,false,,,San Francisco, California, USA,No
Rugged,Construction & Inspection,false,,,Houston, Texas, USA,No
Cosmic,Construction & Inspection,false,,,San Francisco, California, USA,No
Kaise,Construction & Inspection,false,,,Tokyo, Japan,No
Monarch,Agriculture,false,,,Livermore, California, USA,No
Carbon Robotics,Agriculture,false,,,Seattle, Washington, USA,No
Abundant Robotics,Agriculture,false,,,Hayward, California, USA,No
John Deere,Agriculture,false,,,Moline, Illinois, USA,Yes
Plenty,Agriculture,false,,,South San Francisco, California, USA,No
AppHarvest,Agriculture,false,,,Morehead, Kentucky, USA,No
Aigen,Agriculture,false,,,Seattle, Washington, USA,No
Stoutomy,Agriculture,false,,,San Francisco, California, USA,No
Agrobot,Agriculture,false,,,Huelva, Spain,No
Scythe,Agriculture,false,,,Longmont, Colorado, USA,No
Nexus,Agriculture,false,,,Halifax, Nova Scotia, Canada,No
Blue River,Agriculture,false,,,Sunnyvale, California, USA,No
Electric Sheep,Agriculture,false,,,San Francisco, California, USA,No
Yard,Agriculture,false,,,San Francisco, California, USA,No
Farm-ng,Agriculture,false,,,Watsonville, California, USA,No
Verdant,Agriculture,false,,,Hayward, California, USA,No
Cuby,Manufacturing,false,,,Tokyo, Japan,No
Path Robotics,Manufacturing,false,,,Columbus, Ohio, USA,No
UnitX,Manufacturing,false,,,San Francisco, California, USA,No
FormulaMod,Manufacturing,false,,,San Francisco, California, USA,No
Bright Machines,Manufacturing,false,,,San Francisco, California, USA,No
Vention,Manufacturing,false,,,Montreal, Quebec, Canada,No
Machina Labs,Manufacturing,false,,,Los Angeles, California, USA,No
Starship,Ground-Based Delivery,false,,,San Francisco, California, USA,No
Cartken,Ground-Based Delivery,false,,,Oakland, California, USA,No
Bear Robotics,Ground-Based Delivery,false,,,Redwood City, California, USA,No
Kiwibot,Ground-Based Delivery,false,,,Berkeley, California, USA,No
Coco,Ground-Based Delivery,false,,,Los Angeles, California, USA,No
Serve Robotics,Ground-Based Delivery,false,,,Redwood City, California, USA,No
Navia,Ground-Based Delivery,false,,,Paris, France,No
Ottonomy,Ground-Based Delivery,false,,,New York, New York, USA,No
DroneUp,Aerial Delivery,false,,,Virginia Beach, Virginia, USA,No
Zipline,Aerial Delivery,false,,,South San Francisco, California, USA,No
Wing,Aerial Delivery,false,,,Palo Alto, California, USA,No
Matternet,Aerial Delivery,false,,,Mountain View, California, USA,No
FlyTrex,Aerial Delivery,false,,,Tel Aviv, Israel,No
Wingcopter,Aerial Delivery,false,,,Weiterstadt, Germany,No
Manna,Aerial Delivery,false,,,Dublin, Ireland,No
Intuitive,Surgical,false,,,Sunnyvale, California, USA,No
Stryker,Surgical,false,,,Kalamazoo, Michigan, USA,No
Verb Medical,Surgical,false,,,Mountain View, California, USA,No
Johnson & Johnson,Surgical,false,,,New Brunswick, New Jersey, USA,Yes
Medtronic,Surgical,false,,,Dublin, Ireland,Yes
Moon Surgical,Surgical,false,,,Paris, France,No
Procept,Surgical,false,,,Redwood City, California, USA,No
Vicarious,Surgical,false,,,Waltham, Massachusetts, USA,Yes
Chef,Food Automation,false,,,San Francisco, California, USA,No
Hyphen,Food Automation,false,,,San Jose, California, USA,No
Miso,Food Automation,false,,,Pasadena, California, USA,No
Matic,Food Automation,false,,,San Francisco, California, USA,No
iRobot,Food Automation,false,,,Bedford, Massachusetts, USA,Yes
Nala,Food Automation,false,,,Naperville, Illinois, USA,No
Shinkei,Food Automation,false,,,San Francisco, California, USA,No
Dyson,Home Automation & Cleaning,false,,,Malmesbury, United Kingdom,Yes
Shark Ninja,Home Automation & Cleaning,false,,,Needham, Massachusetts, USA,Yes
AMP,Recycling,false,,,Louisville, Colorado, USA,No
CleanRobotics,Recycling,false,,,Pittsburgh, Pennsylvania, USA,No
ZenRobotics,Recycling,false,,,Helsinki, Finland,No
Glacier,Recycling,false,,,San Francisco, California, USA,No
Waste Robotics,Recycling,false,,,Trois-Rivières, Quebec, Canada,No
